ACSF1 {'acc': 0.9, 'auprc': 0.9263312641464815}
Adiac {'acc': 0.7544757033248082, 'auprc': 0.7461275268823675}
AllGestureWiimoteX {'acc': 0.77, 'auprc': 0.7865601595545467}
AllGestureWiimoteY {'acc': 0.8, 'auprc': 0.8189455646146129}
AllGestureWiimoteZ {'acc': 0.7571428571428571, 'auprc': 0.7602857377935283}
ArrowHead {'acc': 0.7942857142857143, 'auprc': 0.8614143867295954}
BME {'acc': 0.9866666666666667, 'auprc': 0.9991549953314659}
Beef {'acc': 0.8, 'auprc': 0.8629206349206349}
BeetleFly {'acc': 0.65, 'auprc': 0.9833333333333333}
BirdChicken {'acc': 0.8, 'auprc': 0.9651515151515152}
CBF {'acc': 1.0, 'auprc': 1.0}
Car {'acc': 0.7, 'auprc': 0.828426125042456}
Chinatown {'acc': 0.9766763848396501, 'auprc': 0.9969483295350225}
ChlorineConcentration {'acc': 0.8348958333333333, 'auprc': 0.8135471860048454}
CinCECGTorso {'acc': 0.7717391304347826, 'auprc': 0.872292971345299}
Coffee {'acc': 1.0, 'auprc': 0.9999999999999998}
Computers {'acc': 0.644, 'auprc': 0.7324674475998356}
CricketX {'acc': 0.8076923076923077, 'auprc': 0.8301123513205179}
CricketY {'acc': 0.7743589743589744, 'auprc': 0.7930066396090422}
CricketZ {'acc': 0.7871794871794872, 'auprc': 0.8189518189406343}
Crop {'acc': 0.7510714285714286, 'auprc': 0.7388797004963966}
DiatomSizeReduction {'acc': 0.9836601307189542, 'auprc': 0.9839686607289483}
DistalPhalanxOutlineAgeGroup {'acc': 0.7266187050359713, 'auprc': 0.7412637966726155}
DistalPhalanxOutlineCorrect {'acc': 0.7644927536231884, 'auprc': 0.864247842510566}
DistalPhalanxTW {'acc': 0.697841726618705, 'auprc': 0.5338968685318721}
DodgerLoopDay {'acc': 0.525, 'auprc': 0.58229786651174}
DodgerLoopGame {'acc': 0.855072463768116, 'auprc': 0.9331289169247413}
DodgerLoopWeekend {'acc': 0.9565217391304348, 'auprc': 0.9622655046759544}
ECG200 {'acc': 0.94, 'auprc': 0.9825559355919538}
