ACSF1 {'acc': 0.71, 'auprc': 0.7636895775733068}
Adiac {'acc': 0.7621483375959079, 'auprc': 0.7532371920686329}
AllGestureWiimoteX {'acc': 0.7157142857142857, 'auprc': 0.7266327211769323}
AllGestureWiimoteY {'acc': 0.7085714285714285, 'auprc': 0.7102708560664701}
AllGestureWiimoteZ {'acc': 0.6714285714285714, 'auprc': 0.673088892440406}
ArrowHead {'acc': 0.8114285714285714, 'auprc': 0.7865860207502918}
BME {'acc': 0.9733333333333334, 'auprc': 0.9996052287581699}
Beef {'acc': 0.7333333333333333, 'auprc': 0.8117431561996777}
BeetleFly {'acc': 0.85, 'auprc': 0.9909090909090909}
BirdChicken {'acc': 0.8, 'auprc': 0.8448656898656898}
CBF {'acc': 0.9922222222222222, 'auprc': 0.9993972628675217}
Car {'acc': 0.8833333333333333, 'auprc': 0.9019146553593432}
Chinatown {'acc': 0.9737609329446064, 'auprc': 0.9982457188157441}
ChlorineConcentration {'acc': 0.78984375, 'auprc': 0.7463099665829852}
CinCECGTorso {'acc': 0.803623188405797, 'auprc': 0.8818178679400328}
Coffee {'acc': 1.0, 'auprc': 0.9999999999999998}
Computers {'acc': 0.648, 'auprc': 0.6546434697911787}
CricketX {'acc': 0.735897435897436, 'auprc': 0.7503919705427596}
CricketY {'acc': 0.7435897435897436, 'auprc': 0.779666742406757}
CricketZ {'acc': 0.7846153846153846, 'auprc': 0.8086316176608898}
Crop {'acc': 0.7581547619047619, 'auprc': 0.7505585130730541}
DiatomSizeReduction {'acc': 0.9738562091503268, 'auprc': 0.9625822154207586}
DistalPhalanxOutlineAgeGroup {'acc': 0.7266187050359713, 'auprc': 0.736699126173451}
DistalPhalanxOutlineCorrect {'acc': 0.7572463768115942, 'auprc': 0.8713104949789987}
DistalPhalanxTW {'acc': 0.6906474820143885, 'auprc': 0.5268121053358189}
DodgerLoopDay {'acc': 0.5, 'auprc': 0.5557290281600099}
DodgerLoopGame {'acc': 0.8333333333333334, 'auprc': 0.9242410052212116}
DodgerLoopWeekend {'acc': 0.9782608695652174, 'auprc': 0.9846777029195029}
ECG200 {'acc': 0.9, 'auprc': 0.9743017899325488}
ECG5000 {'acc': 0.9413333333333334, 'auprc': 0.5493871543633262}
ECGFiveDays {'acc': 0.9988385598141696, 'auprc': 1.0}
EOGHorizontalSignal {'acc': 0.5165745856353591, 'auprc': 0.5387630653486845}
EOGVerticalSignal {'acc': 0.40331491712707185, 'auprc': 0.467268546934649}
Earthquakes {'acc': 0.7482014388489209, 'auprc': 0.30816476424673905}
ElectricDevices {'acc': 0.6811049150564129, 'auprc': 0.5974654528153618}
EthanolLevel {'acc': 0.636, 'auprc': 0.6216360081867446}
FaceAll {'acc': 0.8041420118343195, 'auprc': 0.9495726917269868}
FaceFour {'acc': 0.8522727272727273, 'auprc': 0.9176906775281383}
FacesUCR {'acc': 0.891219512195122, 'auprc': 0.8995842580181942}
FiftyWords {'acc': 0.7758241758241758, 'auprc': 0.7195459562333}
Fish {'acc': 0.8571428571428571, 'auprc': 0.8890050505869205}
FordA {'acc': 0.8727272727272727, 'auprc': 0.9484977270054243}
FordB {'acc': 0.7432098765432099, 'auprc': 0.8464073199880895}
FreezerRegularTrain {'acc': 0.9828070175438597, 'auprc': 0.9877540170298736}
FreezerSmallTrain {'acc': 0.8887719298245614, 'auprc': 0.9733581284124613}
Fungi {'acc': 0.9516129032258065, 'auprc': 0.9968812837926411}
GestureMidAirD1 {'acc': 0.6538461538461539, 'auprc': 0.7269978418111758}
GestureMidAirD2 {'acc': 0.5923076923076923, 'auprc': 0.6739123865692438}
GestureMidAirD3 {'acc': 0.34615384615384615, 'auprc': 0.46200914132861287}
GesturePebbleZ1 {'acc': 0.8837209302325582, 'auprc': 0.9372446717735882}
GesturePebbleZ2 {'acc': 0.8354430379746836, 'auprc': 0.9157642971486895}
GunPoint {'acc': 0.9733333333333334, 'auprc': 0.9968855073539947}
GunPointAgeSpan {'acc': 0.9556962025316456, 'auprc': 0.9961651748413917}
GunPointMaleVersusFemale {'acc': 0.9936708860759493, 'auprc': 1.0}
GunPointOldVersusYoung {'acc': 1.0, 'auprc': 1.0}
Ham {'acc': 0.7238095238095238, 'auprc': 0.8721369949204089}
HandOutlines {'acc': 0.9297297297297298, 'auprc': 0.9709256902755519}
Haptics {'acc': 0.5032467532467533, 'auprc': 0.5116608388252756}
Herring {'acc': 0.5625, 'auprc': 0.5652563071783169}
HouseTwenty {'acc': 0.9159663865546218, 'auprc': 0.9631370818034908}
InlineSkate {'acc': 0.3890909090909091, 'auprc': 0.39031893437431525}
InsectEPGRegularTrain {'acc': 1.0, 'auprc': 1.0}
InsectEPGSmallTrain {'acc': 1.0, 'auprc': 1.0}
InsectWingbeatSound {'acc': 0.6404040404040404, 'auprc': 0.657731077423931}
ItalyPowerDemand {'acc': 0.9659863945578231, 'auprc': 0.9900126940164578}
LargeKitchenAppliances {'acc': 0.7946666666666666, 'auprc': 0.8684284815341212}
Lightning2 {'acc': 0.8524590163934426, 'auprc': 0.946453819562443}
Lightning7 {'acc': 0.7808219178082192, 'auprc': 0.8847725745650704}
Mallat {'acc': 0.9006396588486141, 'auprc': 0.9526841729366077}
Meat {'acc': 0.9166666666666666, 'auprc': 1.0000000000000002}
MedicalImages {'acc': 0.7644736842105263, 'auprc': 0.7646916656723967}
MelbournePedestrian {'acc': 0.947109471094711, 'auprc': 0.9454810911050388}
